dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_scale,PNKDIF_uniform,1213,0.999239,0.988244,1.000000,1.860,2026-01-31T02:30:49.915257
syn_scale,PNKDIF_noMLP,1213,0.999167,0.986876,1.000000,0.398,2026-01-31T02:30:50.315817
syn_scale,IF,1415,0.965422,0.788246,1.000000,0.225,2026-01-31T02:30:50.544100
syn_scale,IF_concat,1415,0.996179,0.937843,1.000000,0.275,2026-01-31T02:30:50.821105
syn_scale,DIF,1415,0.965018,0.789497,1.000000,1.765,2026-01-31T02:30:52.588898
syn_scale,DIF_concat,1415,0.989800,0.868256,1.000000,1.705,2026-01-31T02:30:54.296328
syn_scale,LOF,1415,0.599648,0.149516,0.360000,0.066,2026-01-31T02:30:54.365152
syn_scale,QCAD,1415,0.990300,0.802830,0.900000,0.285,2026-01-31T02:30:54.653062
syn_scale,ROCOD,1415,0.999516,0.992167,1.000000,0.148,2026-01-31T02:30:54.803946
syn_scale,PNKDIF,1415,0.999317,0.988847,1.000000,1.851,2026-01-31T02:30:56.657450
syn_scale,PNKDIF_uniform,1415,0.999230,0.987007,1.000000,1.755,2026-01-31T02:30:58.414285
syn_scale,PNKDIF_noMLP,1415,0.999153,0.985772,1.000000,0.420,2026-01-31T02:30:58.836675
syn_scale,IF,1617,0.963965,0.780002,1.000000,0.272,2026-01-31T02:30:59.112105
syn_scale,IF_concat,1617,0.994022,0.903815,0.990000,0.256,2026-01-31T02:30:59.370626
syn_scale,DIF,1617,0.964331,0.783816,1.000000,1.193,2026-01-31T02:31:00.564920
syn_scale,DIF_concat,1617,0.987922,0.858748,1.000000,1.244,2026-01-31T02:31:01.812122
syn_scale,LOF,1617,0.621113,0.160083,0.420000,0.047,2026-01-31T02:31:01.860788
syn_scale,QCAD,1617,0.989446,0.783985,0.880000,0.186,2026-01-31T02:31:02.049035
syn_scale,ROCOD,1617,0.999087,0.986654,1.000000,0.110,2026-01-31T02:31:02.160485
syn_scale,PNKDIF,1617,0.998721,0.978866,1.000000,1.820,2026-01-31T02:31:03.982574
syn_scale,PNKDIF_uniform,1617,0.998915,0.983168,1.000000,1.594,2026-01-31T02:31:05.579057
syn_scale,PNKDIF_noMLP,1617,0.998858,0.981894,1.000000,0.279,2026-01-31T02:31:05.859908
syn_scale,IF,1819,0.968630,0.801399,1.000000,0.174,2026-01-31T02:31:06.036430
syn_scale,IF_concat,1819,0.993648,0.905298,1.000000,0.178,2026-01-31T02:31:06.216118
syn_scale,DIF,1819,0.969849,0.804882,1.000000,1.187,2026-01-31T02:31:07.405518
syn_scale,DIF_concat,1819,0.989562,0.868194,1.000000,1.234,2026-01-31T02:31:08.642472
syn_scale,LOF,1819,0.608434,0.202321,0.560000,0.064,2026-01-31T02:31:08.708846
syn_scale,QCAD,1819,0.989340,0.787510,0.890000,0.268,2026-01-31T02:31:08.979377
syn_scale,ROCOD,1819,0.999501,0.991539,1.000000,0.152,2026-01-31T02:31:09.133512
syn_scale,PNKDIF,1819,0.999245,0.986541,1.000000,1.923,2026-01-31T02:31:11.058920
syn_scale,PNKDIF_uniform,1819,0.999269,0.986767,1.000000,1.917,2026-01-31T02:31:12.978851
syn_scale,PNKDIF_noMLP,1819,0.999271,0.986702,1.000000,0.414,2026-01-31T02:31:13.395242
syn_scale,IF,2021,0.973887,0.831808,1.000000,0.267,2026-01-31T02:31:13.666839
syn_scale,IF_concat,2021,0.993238,0.896691,1.000000,0.239,2026-01-31T02:31:13.908697
syn_scale,DIF,2021,0.974109,0.832529,1.000000,1.685,2026-01-31T02:31:15.596323
syn_scale,DIF_concat,2021,0.992250,0.896595,1.000000,1.796,2026-01-31T02:31:17.395339
syn_scale,LOF,2021,0.612781,0.200101,0.520000,0.063,2026-01-31T02:31:17.461034
